ID,id,location_id,accessibility,details
59,242,242,"Handicap accessible",,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
60,246,246,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
61,292,292,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
62,294,294,"Handicap accessible",,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
63,296,296,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
64,298,298,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
65,303,303,"Handicap accessible",,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
66,308,308,"Handicap accessible",,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
67,310,310,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
68,311,311,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
69,312,312,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
70,314,314,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
71,467,467,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
72,468,468,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
73,470,470,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
74,471,471,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
75,472,472,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
76,473,473,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
77,474,474,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
78,475,475,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
79,480,480,"Handicap accessible",,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
80,481,481,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
81,482,482,"Handicap accessible",,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
82,483,483,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
83,484,484,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
84,485,485,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
85,490,490,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
86,492,492,,,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
87,499,499,"Handicap accessible",,2020-07-01T13:41:10.000000Z,2020-07-01T13:41:10.000000Z
