ID,location_id,service_id
337,783798317190015,572381295862246,2020-07-16T14:30:31.000000Z,2020-07-16T14:30:31.000000Z
338,800290835408679,1220017101351760,2020-07-16T14:30:32.000000Z,2020-07-16T14:30:32.000000Z
339,801481287749333,1175342324463616,2020-07-16T14:30:33.000000Z,2020-07-16T14:30:33.000000Z
340,799762672906525,1266854743896634,2020-07-16T14:30:33.000000Z,2020-07-16T14:30:33.000000Z
341,804741531339742,593446361217353,2020-07-16T14:30:34.000000Z,2020-07-16T14:30:34.000000Z
342,813051911788426,813926334906214,2020-07-16T14:30:34.000000Z,2020-07-16T14:30:34.000000Z
343,813051911788426,1191165945054651,2020-07-16T14:30:34.000000Z,2020-07-16T14:30:34.000000Z
344,813051911788426,816301601038577,2020-07-16T14:30:34.000000Z,2020-07-16T14:30:34.000000Z
345,822106893088278,770635363010046,2020-07-16T14:30:35.000000Z,2020-07-16T14:30:35.000000Z
346,822106893088278,1002753920993717,2020-07-16T14:30:35.000000Z,2020-07-16T14:30:35.000000Z
347,830099986846686,1108850981657232,2020-07-16T14:30:36.000000Z,2020-07-16T14:30:36.000000Z
348,830099986846686,1166799153375505,2020-07-16T14:30:36.000000Z,2020-07-16T14:30:36.000000Z
349,832915449530060,1203649171352486,2020-07-16T14:30:36.000000Z,2020-07-16T14:30:36.000000Z
350,834347484127358,1091435530922324,2020-07-16T14:30:36.000000Z,2020-07-16T14:30:36.000000Z
351,830080281630476,1264011549910449,2020-07-16T14:30:37.000000Z,2020-07-16T14:30:37.000000Z
352,837954913596387,1175342324463616,2020-07-16T14:30:37.000000Z,2020-07-16T14:30:37.000000Z
353,850523592271025,1146632771763115,2020-07-16T14:30:38.000000Z,2020-07-16T14:30:38.000000Z
354,850523592271025,1090162375763715,2020-07-16T14:30:38.000000Z,2020-07-16T14:30:38.000000Z
355,850523592271025,803276717045236,2020-07-16T14:30:38.000000Z,2020-07-16T14:30:38.000000Z
356,850523592271025,1000709017081839,2020-07-16T14:30:38.000000Z,2020-07-16T14:30:38.000000Z
357,853468345123345,646558365152210,2020-07-16T14:30:40.000000Z,2020-07-16T14:30:40.000000Z
358,853468345123345,632725434790464,2020-07-16T14:30:40.000000Z,2020-07-16T14:30:40.000000Z
359,787452341993968,1170113060894673,2020-07-16T14:30:41.000000Z,2020-07-16T14:30:41.000000Z
360,794816074234794,959978038980815,2020-07-16T14:30:42.000000Z,2020-07-16T14:30:42.000000Z
361,813497895890135,1162558264395905,2020-07-16T14:30:42.000000Z,2020-07-16T14:30:42.000000Z
362,813553671875388,931728525653879,2020-07-16T14:30:43.000000Z,2020-07-16T14:30:43.000000Z
363,813553671875388,1053529725692782,2020-07-16T14:30:43.000000Z,2020-07-16T14:30:43.000000Z
364,813553671875388,647497712481280,2020-07-16T14:30:43.000000Z,2020-07-16T14:30:43.000000Z
365,817086926506130,1215517692128370,2020-07-16T14:30:45.000000Z,2020-07-16T14:30:45.000000Z
366,822492274972082,1044869288351593,2020-07-16T14:30:45.000000Z,2020-07-16T14:30:45.000000Z
367,825628435745785,1098817401970888,2020-07-16T14:30:46.000000Z,2020-07-16T14:30:46.000000Z
368,821678418698117,574924274540606,2020-07-16T14:30:47.000000Z,2020-07-16T14:30:47.000000Z
369,824247975076202,771897230838212,2020-07-16T14:30:48.000000Z,2020-07-16T14:30:48.000000Z
370,822696272964380,1264011549910449,2020-07-16T14:30:49.000000Z,2020-07-16T14:30:49.000000Z
371,824288922961198,987030255962297,2020-07-16T14:30:49.000000Z,2020-07-16T14:30:49.000000Z
372,832898052878964,911858349594317,2020-07-16T14:30:49.000000Z,2020-07-16T14:30:49.000000Z
373,838392358604924,1083708956779513,2020-07-16T14:30:52.000000Z,2020-07-16T14:30:52.000000Z
374,849919523533582,984058750613797,2020-07-16T14:30:53.000000Z,2020-07-16T14:30:53.000000Z
375,856023638190230,756139435965093,2020-07-16T14:30:53.000000Z,2020-07-16T14:30:53.000000Z
376,859897161557047,1146632771763115,2020-07-16T14:30:54.000000Z,2020-07-16T14:30:54.000000Z
377,859897161557047,1090162375763715,2020-07-16T14:30:54.000000Z,2020-07-16T14:30:54.000000Z
378,859897161557047,803276717045236,2020-07-16T14:30:54.000000Z,2020-07-16T14:30:54.000000Z
379,859897161557047,1000709017081839,2020-07-16T14:30:54.000000Z,2020-07-16T14:30:54.000000Z
380,857913961326886,936934819762396,2020-07-16T14:30:55.000000Z,2020-07-16T14:30:55.000000Z
381,796887413251668,556992607571593,2020-07-16T14:30:56.000000Z,2020-07-16T14:30:56.000000Z
382,800106312438349,770635363010046,2020-07-16T14:30:56.000000Z,2020-07-16T14:30:56.000000Z
383,800106312438349,1002753920993717,2020-07-16T14:30:56.000000Z,2020-07-16T14:30:56.000000Z
384,802246956701009,619784806206149,2020-07-16T14:30:57.000000Z,2020-07-16T14:30:57.000000Z
385,802246956701009,1214132387827753,2020-07-16T14:30:57.000000Z,2020-07-16T14:30:57.000000Z
386,802246956701009,946031179775955,2020-07-16T14:30:57.000000Z,2020-07-16T14:30:57.000000Z
387,805800258888513,1175342324463616,2020-07-16T14:30:57.000000Z,2020-07-16T14:30:57.000000Z
