id,service_id,location_id,description
1,1.17011E+15,5.43629E+14,
2,6.16653E+14,5.65809E+14,
3,7.65116E+14,5.7197E+14,
4,1.14033E+15,5.77139E+14,
5,9.25102E+14,5.74349E+14,
6,1.28914E+15,5.8021E+14,
7,9.59978E+14,5.85408E+14,
8,5.95077E+14,5.85677E+14,
9,9.84059E+14,5.92511E+14,
10,9.24629E+14,6.02724E+14,
11,6.20133E+14,6.05861E+14,
12,8.28793E+14,5.49681E+14,
13,9.24629E+14,5.63589E+14,
14,6.28637E+14,5.65227E+14,
15,1.18301E+15,5.66502E+14,
16,1.11234E+15,5.67632E+14,
17,8.75108E+14,5.6977E+14,
18,6.08498E+14,5.6977E+14,
19,1.283E+15,5.6977E+14,
20,6.88457E+14,5.73528E+14,
21,9.01363E+14,5.7739E+14,
22,8.28793E+14,5.77584E+14,
23,1.10885E+15,5.7943E+14,
24,1.1668E+15,5.7943E+14,
25,1.09882E+15,5.76263E+14,
26,8.73274E+14,5.96474E+14,
27,9.09943E+14,5.96474E+14,
28,9.50009E+14,6.07885E+14,
29,1.18301E+15,6.10489E+14,
30,8.57876E+14,5.61778E+14,
31,1.18597E+15,5.73931E+14,
32,9.23653E+14,5.77559E+14,
33,1.20912E+15,5.76988E+14,
34,1.13512E+15,5.8072E+14,
35,1.09882E+15,5.8012E+14,
36,1.04487E+15,5.86828E+14,
37,1.28246E+15,5.86063E+14,
38,9.6487E+14,5.86063E+14,
39,6.29348E+14,5.86063E+14,
40,6.29348E+14,5.91961E+14,
41,9.36935E+14,5.97643E+14,
42,8.41307E+14,5.98601E+14,
43,7.28146E+14,6.00624E+14,
44,1.26162E+15,6.05724E+14,
45,5.4792E+14,6.07895E+14,
46,9.06652E+14,6.11591E+14,
47,1.20912E+15,6.12611E+14,
48,6.29348E+14,6.06632E+14,
49,9.47853E+14,6.27629E+14,
50,1.20192E+15,6.29844E+14,
51,8.48686E+14,5.70069E+14,
52,5.4566E+14,5.9391E+14,
53,1.11678E+15,5.95264E+14,
54,1.04487E+15,5.99402E+14,
55,1.30729E+15,6.23012E+14,
56,1.09144E+15,6.27324E+14,
57,9.20365E+14,6.33712E+14,
58,1.05437E+15,6.33712E+14,
59,7.64854E+14,6.33702E+14,
60,1.15956E+15,6.36733E+14,
61,1.28246E+15,5.8052E+14,
62,9.6487E+14,5.8052E+14,
63,6.29348E+14,5.8052E+14,
64,9.47853E+14,5.81023E+14,
65,9.24629E+14,5.88693E+14,
66,1.28914E+15,5.96938E+14,
67,6.10895E+14,5.95461E+14,
68,5.94961E+14,6.02651E+14,
69,9.99755E+14,6.02651E+14,
70,8.36905E+14,6.07075E+14,
71,7.71634E+14,6.1231E+14,
72,7.70635E+14,6.09582E+14,
73,1.00275E+15,6.09582E+14,
74,8.76397E+14,6.15519E+14,
75,1.00071E+15,6.17098E+14,
76,9.20365E+14,6.15186E+14,
77,1.05437E+15,6.15186E+14,
78,1.22368E+15,6.15915E+14,
79,1.29706E+15,6.20921E+14,
80,9.31887E+14,6.21104E+14,
81,9.47435E+14,6.32655E+14,
82,9.11858E+14,6.45816E+14,
83,1.18601E+15,6.45384E+14,
84,9.11858E+14,5.90896E+14,
85,9.59978E+14,5.97026E+14,
86,8.18298E+14,6.05447E+14,
87,9.03708E+14,6.10721E+14,
88,1.28246E+15,6.15989E+14,
89,9.6487E+14,6.15989E+14,
90,6.29348E+14,6.15989E+14,
91,5.4792E+14,6.26403E+14,
92,9.20365E+14,6.38394E+14,
93,1.05437E+15,6.38394E+14,
94,8.1884E+14,6.42012E+14,
95,7.88509E+14,6.42012E+14,
96,9.31887E+14,6.47183E+14,
97,5.4792E+14,6.57512E+14,
98,8.38781E+14,6.60869E+14,
99,1.01292E+15,6.62642E+14,
100,9.24629E+14,6.16047E+14,
101,8.28793E+14,6.16081E+14,
102,8.1882E+14,6.17081E+14,
103,1.09144E+15,6.17081E+14,
104,9.79564E+14,6.17081E+14,
105,1.24057E+15,6.17081E+14,
106,1.10885E+15,6.2363E+14,
107,1.1668E+15,6.2363E+14,
108,6.71469E+14,6.40103E+14,
109,9.31887E+14,6.47772E+14,
110,1.2206E+15,6.51504E+14,
111,9.24629E+14,6.57179E+14,
112,8.05807E+14,6.57179E+14,
113,1.17917E+15,6.57179E+14,
114,8.82333E+14,6.68001E+14,
115,9.50009E+14,6.6873E+14,
116,9.20365E+14,6.66407E+14,
117,1.05437E+15,6.66407E+14,
118,1.2826E+15,6.6721E+14,
119,8.56126E+14,6.6721E+14,
120,9.79448E+14,6.6721E+14,
121,1.16171E+15,6.05774E+14,
122,7.28146E+14,6.13307E+14,
123,5.4792E+14,6.15977E+14,
124,1.27791E+15,6.1415E+14,
125,7.68746E+14,6.30367E+14,
126,9.33134E+14,6.30367E+14,
127,8.06169E+14,6.30367E+14,
128,1.14746E+15,6.36134E+14,
129,9.6487E+14,6.37113E+14,
130,6.29348E+14,6.37113E+14,
131,1.15956E+15,6.37918E+14,
132,8.06169E+14,6.3934E+14,
133,9.24629E+14,6.44091E+14,
134,1.26401E+15,6.44621E+14,
