id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
1,1.11E+15,,1905 E St SE,,,,Washington,,DC,20003,US
2,1.32E+15,,"3715 2nd Street, SE",,,,Washington,,DC,20032,US
3,1.28E+15,,9850 Key West Avenue,,,,Rockville,,MD,20850,US
4,8.68E+14,,1733 T Street SE,,,,Washington,,DC,20001,US
