id,service_id,taxonomy_id,taxonomy_detail
1,5.43629E+14,5.43629E+14,
2,5.65809E+14,5.65809E+14,
3,5.7197E+14,5.7197E+14,
4,5.8021E+14,5.8021E+14,
5,5.85908E+14,5.85908E+14,
6,5.85408E+14,5.85408E+14,
7,5.90149E+14,5.90149E+14,
8,5.92511E+14,5.92511E+14,
9,6.02724E+14,6.02724E+14,
10,6.05861E+14,6.05861E+14,
11,5.49681E+14,5.49681E+14,
12,5.49681E+14,5.49681E+14,
13,5.63589E+14,5.63589E+14,
14,5.65227E+14,5.65227E+14,
15,5.66502E+14,5.66502E+14,
16,5.67632E+14,5.67632E+14,
17,5.6977E+14,5.6977E+14,
18,5.73528E+14,5.73528E+14,
19,5.7739E+14,5.7739E+14,
20,5.77584E+14,5.77584E+14,
21,5.76263E+14,5.76263E+14,
22,5.96474E+14,5.96474E+14,
23,6.07885E+14,6.07885E+14,
24,6.10489E+14,6.10489E+14,
25,5.61778E+14,5.61778E+14,
26,5.73931E+14,5.73931E+14,
27,5.74662E+14,5.74662E+14,
28,5.74662E+14,5.74662E+14,
29,5.76988E+14,5.76988E+14,
30,5.76988E+14,5.76988E+14,
31,5.8072E+14,5.8072E+14,
32,5.8012E+14,5.8012E+14,
33,5.86828E+14,5.86828E+14,
34,5.86063E+14,5.86063E+14,
35,5.91961E+14,5.91961E+14,
36,5.97643E+14,5.97643E+14,
37,5.98601E+14,5.98601E+14,
38,6.00624E+14,6.00624E+14,
39,6.05724E+14,6.05724E+14,
40,6.05724E+14,6.05724E+14,
41,6.07895E+14,6.07895E+14,
42,6.07895E+14,6.07895E+14,
43,6.11591E+14,6.11591E+14,
44,6.12611E+14,6.12611E+14,
45,6.06632E+14,6.06632E+14,
46,6.27629E+14,6.27629E+14,
47,6.27629E+14,6.27629E+14,
48,5.70069E+14,5.70069E+14,
49,5.9391E+14,5.9391E+14,
50,5.99402E+14,5.99402E+14,
51,5.99402E+14,5.99402E+14,
52,6.27324E+14,6.27324E+14,
53,6.33712E+14,6.33712E+14,
54,6.33712E+14,6.33712E+14,
55,6.33702E+14,6.33702E+14,
56,6.36733E+14,6.36733E+14,
57,6.36733E+14,6.36733E+14,
58,5.8052E+14,5.8052E+14,
59,5.81023E+14,5.81023E+14,
60,5.81023E+14,5.81023E+14,
61,5.88693E+14,5.88693E+14,
62,5.96938E+14,5.96938E+14,
63,5.95461E+14,5.95461E+14,
64,5.95461E+14,5.95461E+14,
65,6.02651E+14,6.02651E+14,
66,6.07075E+14,6.07075E+14,
67,6.1231E+14,6.1231E+14,
68,6.09582E+14,6.09582E+14,
69,6.15519E+14,6.15519E+14,
70,6.17098E+14,6.17098E+14,
71,6.17098E+14,6.17098E+14,
72,6.15186E+14,6.15186E+14,
73,6.32655E+14,6.32655E+14,
74,6.32655E+14,6.32655E+14,
75,6.32655E+14,6.32655E+14,
76,6.45816E+14,6.45816E+14,
77,6.45816E+14,6.45816E+14,
78,6.45384E+14,6.45384E+14,
79,6.45384E+14,6.45384E+14,
80,5.90896E+14,5.90896E+14,
81,5.97026E+14,5.97026E+14,
82,5.97026E+14,5.97026E+14,
83,6.05447E+14,6.05447E+14,
84,6.05447E+14,6.05447E+14,
85,6.15989E+14,6.15989E+14,
86,6.26403E+14,6.26403E+14,
87,6.38394E+14,6.38394E+14,
88,6.42012E+14,6.42012E+14,
89,6.47183E+14,6.47183E+14,
90,6.57512E+14,6.57512E+14,
91,6.60869E+14,6.60869E+14,
92,6.62642E+14,6.62642E+14,
93,6.16047E+14,6.16047E+14,
94,6.16081E+14,6.16081E+14,
95,6.16081E+14,6.16081E+14,
96,6.17081E+14,6.17081E+14,
97,6.26862E+14,6.26862E+14,
98,6.26862E+14,6.26862E+14,
99,6.40103E+14,6.40103E+14,
100,6.42285E+14,6.42285E+14,
101,6.42285E+14,6.42285E+14,
102,6.42285E+14,6.42285E+14,
